Texture 2048x2900, nonZero=3009848/5939200
code x y w h rotated nonZero area ratio boundsOK ignored
20 2047 175 0 0 1 0 0 0.0000 1 1
21 1766 2881 4 22 1 16 76 0.2105 1 0
22 1407 2881 7 9 1 42 63 0.6667 1 0
23 1955 2783 20 22 1 205 440 0.4659 1 0
24 2033 2016 14 27 0 214 378 0.5661 1 0
25 1219 2758 23 22 0 242 506 0.4783 1 0
26 625 2827 18 22 1 185 396 0.4672 1 0
27 2039 2881 3 9 0 27 27 1.0000 1 0
28 2040 755 6 28 0 93 168 0.5536 1 0
29 2040 88 6 28 0 100 168 0.5952 1 0
2a 2030 2865 11 12 1 89 132 0.6742 1 0
2b 648 2827 18 19 1 99 342 0.2895 1 0
2c 1729 2881 5 8 1 20 40 0.5000 1 0
2d 1789 2881 8 4 0 32 32 1.0000 1 0
2e 1798 2881 4 4 0 16 16 1.0000 1 0
2f 566 2881 11 26 1 34 209 0.1627 1 0
30 336 2865 14 22 1 149 308 0.4838 1 0
31 1271 2881 8 22 1 49 152 0.3224 1 0
32 496 2865 14 22 1 122 308 0.3961 1 0
33 283 2865 14 22 1 144 308 0.4675 1 0
34 1662 2847 16 22 1 148 352 0.4205 1 0
35 519 2865 14 22 1 145 308 0.4708 1 0
36 998 2865 14 22 1 177 308 0.5747 1 0
37 542 2865 14 22 1 134 308 0.4351 1 0
38 473 2865 14 22 1 179 308 0.5812 1 0
39 359 2865 14 22 1 189 308 0.6136 1 0
3a 1803 2881 4 16 1 16 64 0.2500 1 0
3b 1675 2881 5 20 1 16 95 0.1684 1 0
3c 1472 2827 18 17 0 118 306 0.3856 1 0
3d 1041 2881 18 9 0 108 162 0.6667 1 0
3e 231 2847 18 17 0 114 306 0.3725 1 0
3f 391 2881 11 23 1 65 209 0.3110 1 0
40 1906 2783 20 20 0 236 400 0.5900 1 0
41 484 2806 20 22 1 190 440 0.4318 1 0
42 1048 2847 16 22 1 184 352 0.5227 1 0
43 716 2827 18 22 1 147 396 0.3712 1 0
44 1939 2827 17 22 1 170 374 0.4545 1 0
45 565 2865 14 22 1 120 308 0.3896 1 0
46 1637 2865 13 22 1 156 286 0.5455 1 0
47 373 2827 18 22 1 171 396 0.4318 1 0
48 474 2847 16 22 1 195 352 0.5540 1 0
49 0 2895 4 22 1 16 20 0.8000 1 0
4a 1614 2865 13 22 1 104 286 0.3636 1 0
4b 497 2847 16 22 1 165 352 0.4688 1 0
4c 1074 2865 14 22 1 86 308 0.2792 1 0
4d 1819 2758 23 22 0 326 506 0.6443 1 0
4e 1649 2827 17 22 1 206 374 0.5508 1 0
4f 507 2806 20 22 1 217 440 0.4932 1 0
50 174 2865 15 22 1 187 330 0.5667 1 0
51 1835 2783 20 24 1 231 480 0.4813 1 0
52 1071 2847 16 22 1 225 352 0.6392 1 0
53 1578 2847 16 22 1 180 352 0.5114 1 0
54 1672 2827 17 22 1 105 374 0.2807 1 0
55 1695 2827 17 22 1 158 374 0.4225 1 0
56 1371 2806 19 22 1 158 418 0.3780 1 0
57 1789 2758 29 22 0 316 638 0.4953 1 0
58 1695 2806 19 22 1 182 418 0.4354 1 0
59 739 2827 18 22 1 160 396 0.4040 1 0
5a 544 2847 16 22 1 115 352 0.3267 1 0
5b 2041 1364 6 27 0 99 162 0.6111 1 0
5d 2040 2044 6 27 0 120 162 0.7407 1 0
5e 774 2881 18 10 0 77 180 0.4278 1 0
5f 2045 2758 15 2 1 4 6 0.6667 1 0
60 1512 2881 6 7 1 22 42 0.5238 1 0
61 1705 2865 13 16 1 120 208 0.5769 1 0
62 260 2865 14 22 1 117 308 0.3799 1 0
63 1722 2865 13 16 1 95 208 0.4567 1 0
64 2033 2783 14 22 0 181 308 0.5877 1 0
65 588 2865 14 16 1 137 224 0.6116 1 0
66 901 2881 10 22 1 60 190 0.3158 1 0
67 605 2865 14 22 1 193 308 0.6266 1 0
68 1591 2865 13 22 1 118 286 0.4126 1 0
69 1820 2881 4 22 1 16 76 0.2105 1 0
6a 1592 2881 6 29 1 16 114 0.1404 1 0
6b 1568 2865 13 22 1 112 286 0.3916 1 0
6c 2044 1960 3 22 0 66 66 1.0000 1 0
6d 405 2847 22 16 0 211 352 0.5994 1 0
6e 1551 2865 13 16 1 108 208 0.5192 1 0
6f 1748 2847 15 16 1 141 240 0.5875 1 0
70 214 2865 14 22 1 152 308 0.4935 1 0
71 237 2865 14 22 1 146 308 0.4740 1 0
72 1254 2881 8 16 1 44 128 0.3438 1 0
73 1739 2865 13 16 1 105 208 0.5048 1 0
74 793 2881 10 21 1 56 190 0.2947 1 0
75 1507 2865 13 16 1 96 208 0.4615 1 0
76 197 2865 15 16 1 112 240 0.4667 1 0
77 567 2847 24 16 0 215 384 0.5599 1 0
78 1685 2847 15 16 1 124 240 0.5167 1 0
79 1765 2847 15 22 1 159 330 0.4818 1 0
7a 593 2881 11 16 1 74 176 0.4205 1 0
7b 744 2881 10 29 1 39 190 0.2053 1 0
7c 2045 146 2 28 0 50 56 0.8929 1 0
7d 714 2881 10 29 1 38 190 0.2000 1 0
7e 1745 2881 10 5 0 35 50 0.7000 1 0
a1 2043 2707 4 23 0 76 92 0.8261 1 0
a7 306 2865 14 29 1 186 406 0.4581 1 0
a8 2035 2881 10 3 1 24 30 0.8000 1 0
a9 29 2783 22 22 0 247 484 0.5103 1 0
ae 52 2783 22 22 0 269 484 0.5558 1 0
b0 1294 2881 8 9 1 44 72 0.6111 1 0
b1 75 2783 22 26 1 176 572 0.3077 1 0
b4 1655 2881 10 5 0 27 50 0.5400 1 0
b6 592 2847 16 29 1 289 464 0.6228 1 0
bf 453 2881 11 23 1 37 209 0.1770 1 0
c0 530 2806 20 30 1 213 600 0.3550 1 0
c1 561 2806 20 30 1 220 600 0.3667 1 0
c2 592 2806 20 30 1 182 600 0.3033 1 0
c3 623 2806 20 30 1 240 600 0.4000 1 0
c4 654 2806 20 29 1 197 580 0.3397 1 0
c5 684 2806 20 33 1 186 660 0.2818 1 0
c6 1704 2758 27 22 0 282 594 0.4747 1 0
c7 762 2827 18 29 1 179 522 0.3429 1 0
c8 628 2865 14 30 1 154 420 0.3667 1 0
c9 659 2865 14 30 1 167 420 0.3976 1 0
ca 690 2865 14 30 1 150 420 0.3571 1 0
cb 2033 842 14 28 0 203 392 0.5179 1 0
cc 1520 2881 6 30 1 22 114 0.1930 1 0
cd 1471 2881 7 30 1 21 133 0.1579 1 0
ce 1184 2881 8 30 1 37 152 0.2434 1 0
cf 1215 2881 8 29 1 36 152 0.2368 1 0
d0 1486 2783 20 22 1 222 440 0.5045 1 0
d1 1414 2827 17 30 1 187 510 0.3667 1 0
d2 718 2806 20 30 1 244 600 0.4067 1 0
d3 749 2806 20 30 1 200 600 0.3333 1 0
d4 780 2806 20 30 1 208 600 0.3467 1 0
d5 811 2806 20 29 1 188 580 0.3241 1 0
d6 841 2806 20 28 1 193 560 0.3446 1 0
d7 1356 2783 20 22 1 174 440 0.3955 1 0
d8 935 2783 21 24 1 266 504 0.5278 1 0
d9 1740 2827 17 31 1 185 527 0.3510 1 0
da 1772 2827 17 31 1 180 527 0.3416 1 0
db 1804 2827 17 31 1 195 527 0.3700 1 0
dc 1836 2827 17 29 1 191 493 0.3874 1 0
dd 792 2827 18 30 1 180 540 0.3333 1 0
de 124 2865 15 22 1 181 330 0.5485 1 0
df 1702 2847 15 22 1 166 330 0.5030 1 0
e0 1756 2865 13 23 1 115 299 0.3846 1 0
e1 1780 2865 13 23 1 114 299 0.3813 1 0
e2 1804 2865 13 23 1 108 299 0.3612 1 0
e3 1828 2865 13 23 1 123 299 0.4114 1 0
e4 1852 2865 13 22 1 132 286 0.4615 1 0
e5 1875 2865 13 24 1 125 312 0.4006 1 0
e6 520 2847 23 16 0 261 368 0.7092 1 0
e7 1900 2865 13 23 1 114 299 0.3813 1 0
e8 721 2865 14 23 1 136 322 0.4224 1 0
e9 745 2865 14 23 1 143 322 0.4441 1 0
ea 769 2865 14 23 1 139 322 0.4317 1 0
eb 793 2865 14 22 1 155 308 0.5032 1 0
ec 1551 2881 6 24 1 22 114 0.1930 1 0
ed 2037 2758 7 24 0 74 168 0.4405 1 0
ee 1417 2881 7 24 1 37 133 0.2782 1 0
ef 1384 2881 7 22 1 27 133 0.2030 1 0
f0 1788 2847 15 24 1 192 360 0.5333 1 0
f1 1483 2865 13 23 1 145 299 0.4849 1 0
f2 1813 2847 15 23 1 147 345 0.4261 1 0
f3 1837 2847 15 23 1 146 345 0.4232 1 0
f4 1861 2847 15 23 1 158 345 0.4580 1 0
f5 1885 2847 15 23 1 158 345 0.4580 1 0
